id,nome,timestamp,vincitore mano 1,vincitore mano 2,vincitore mano 3,durata totale dell'esperimento
20260903_155808,Daniele030926,2026-09-03T16:04:07.677000,user,user,user,359.6
20260903_161621,SimonaTucci030926,2026-09-03T16:26:04.995000,user,user,user,583.8
