id,nome,timestamp,vincitore mano 1,vincitore mano 2,vincitore mano 3,durata totale dell'esperimento
20260904_134351,GaetanoDitota040926,2026-09-04T13:54:53.947000,user,user,user,662.9
20260904_140758,CorradoLizzo040926,2026-09-04T14:15:48.159000,user,robot,user,469.7
