20260904_142123,2026-09-04T14:21:55.836000,1,preflop,user,call,13525.0
20260904_142123,2026-09-04T14:21:57.308000,1,preflop,robot,raise 40,
20260904_142123,2026-09-04T14:22:21.292000,1,preflop,user,raise 20,23977.0
20260904_142123,2026-09-04T14:22:25.028000,1,preflop,user,raise 60,
20260904_142123,2026-09-04T14:22:26.101000,1,preflop,robot,call 20,
20260904_142123,2026-09-04T14:22:44.202000,1,flop,user,check,18093.0
20260904_142123,2026-09-04T14:22:45.278000,1,flop,robot,check,
20260904_142123,2026-09-04T14:23:05.752000,1,turn,user,raise 20,20467.0
20260904_142123,2026-09-04T14:23:07.563000,1,turn,robot,call 20,
20260904_142123,2026-09-04T14:23:30.256000,1,river,user,allin,22666.0
20260904_142123,2026-09-04T14:23:31.308000,1,river,robot,fold,
20260904_142123,2026-09-04T14:24:04.191000,2,preflop,user,call,10224.0
20260904_142123,2026-09-04T14:24:06.156000,2,preflop,robot,raise 216,
20260904_142123,2026-09-04T14:24:27.840000,2,preflop,user,call,21681.0
20260904_142123,2026-09-04T14:24:34.042000,2,flop,user,check,6202.0
20260904_142123,2026-09-04T14:24:35.609000,2,flop,robot,raise 112,
20260904_142123,2026-09-04T14:24:49.793000,2,flop,user,call,14184.0
20260904_142123,2026-09-04T14:24:58.681000,2,turn,user,raise 200,8874.0
20260904_142123,2026-09-04T14:24:59.836000,2,turn,robot,raise 368,
20260904_142123,2026-09-04T14:25:27.242000,2,turn,user,call,27398.0
20260904_142123,2026-09-04T14:25:31.792000,2,river,user,allin,4545.0
20260904_142123,2026-09-04T14:25:33.287000,2,river,robot,fold,
20260904_142123,2026-09-04T14:26:20.899000,3,preflop,user,allin,9090.0
20260904_142123,2026-09-04T14:26:22.174000,3,preflop,robot,fold,
